,0
0,WWW
1,MAIL
2,FTP-CONTROL
3,FTP-PASV
4,ATTACK
5,P2P
6,DATABASE
7,FTP-DATA
8,MULTIMEDIA
9,SERVICES
10,INTERACTIVE
11,0.9984860000000001
12,0.994749
13,0.985808
14,0.938042
15,0.7026020000000001
16,0.743631
17,0.9962219999999999
18,0.971823
19,0.757225
20,0.9920629999999999
21,0.909091
22,0.996972
23,0.9932219999999999
24,0.9978889999999999
25,0.979556
26,0.747889
27,0.767111
28,1.0
29,0.9811110000000001
30,1.0
31,0.997556
32,1.0
33,0.996976
34,0.99587
35,0.994761
36,0.9568450000000001
37,0.751394
38,0.8901620000000001
39,0.995468
40,0.9868879999999999
41,0.8125
42,0.9933270000000001
43,0.9818180000000001
44,0.997341
45,0.991975
46,0.9979959999999999
47,0.9822780000000001
48,0.8265030000000001
49,0.82547
50,0.9986659999999999
51,0.981308
52,0.9926450000000001
53,0.99711
54,1.0
